Location,Direction,Date,Time,Volume,Lanes
ML 52-53,SB,1/4/2025,1:00 AM,238,3
ML 52-53,SB,1/4/2025,2:00 AM,272,3
ML 52-53,SB,1/4/2025,3:00 AM,272,3
ML 52-53,SB,1/4/2025,4:00 AM,249,3
ML 52-53,SB,1/4/2025,5:00 AM,309,3
ML 52-53,SB,1/4/2025,6:00 AM,421,3
ML 52-53,SB,1/4/2025,7:00 AM,725,3
ML 52-53,SB,1/4/2025,8:00 AM,1109,3
ML 52-53,SB,1/4/2025,9:00 AM,1345,3
ML 52-53,SB,1/4/2025,10:00 AM,1328,3
ML 52-53,SB,1/4/2025,11:00 AM,1061,3
ML 52-53,SB,1/4/2025,12:00 PM,807,3
ML 52-53,SB,1/4/2025,1:00 PM,671,3
ML 52-53,SB,1/4/2025,2:00 PM,622,3
ML 52-53,SB,1/4/2025,3:00 PM,796,3
ML 52-53,SB,1/4/2025,4:00 PM,1073,3
ML 52-53,SB,1/4/2025,5:00 PM,1349,3
ML 52-53,SB,1/4/2025,6:00 PM,1429,3
ML 52-53,SB,1/4/2025,7:00 PM,1337,3
ML 52-53,SB,1/4/2025,8:00 PM,888,3
ML 52-53,SB,1/4/2025,9:00 PM,468,3
ML 52-53,SB,1/4/2025,10:00 PM,244,3
ML 52-53,SB,1/4/2025,11:00 PM,138,3
ML 52-53,NB,1/5/2025,12:00 AM,297,3
ML 52-53,NB,1/5/2025,1:00 AM,337,3
ML 52-53,NB,1/5/2025,2:00 AM,325,3
ML 52-53,NB,1/5/2025,3:00 AM,334,3
ML 52-53,NB,1/5/2025,4:00 AM,360,3
ML 52-53,NB,1/5/2025,5:00 AM,544,3
ML 52-53,NB,1/5/2025,6:00 AM,944,3
ML 52-53,NB,1/5/2025,7:00 AM,1310,3
ML 52-53,NB,1/5/2025,8:00 AM,1561,3
ML 52-53,NB,1/5/2025,9:00 AM,1555,3
ML 52-53,NB,1/5/2025,10:00 AM,1144,3
ML 52-53,NB,1/5/2025,11:00 AM,982,3
ML 52-53,NB,1/5/2025,12:00 PM,790,3
ML 52-53,NB,1/5/2025,1:00 PM,935,3
ML 52-53,NB,1/5/2025,2:00 PM,1006,3
ML 52-53,NB,1/5/2025,3:00 PM,1539,3
ML 52-53,NB,1/5/2025,4:00 PM,1724,3
ML 52-53,NB,1/5/2025,5:00 PM,1833,3
ML 52-53,NB,1/5/2025,6:00 PM,1725,3
ML 52-53,NB,1/5/2025,7:00 PM,1037,3
ML 52-53,NB,1/5/2025,8:00 PM,538,3
ML 52-53,NB,1/5/2025,9:00 PM,304,3
ML 52-53,NB,1/5/2025,10:00 PM,186,3
ML 52-53,NB,1/5/2025,11:00 PM,139,3
ML 52-53,SB,1/5/2025,12:00 AM,317,3
ML 52-53,SB,1/5/2025,1:00 AM,315,3
ML 52-53,SB,1/5/2025,2:00 AM,350,3
ML 52-53,SB,1/5/2025,3:00 AM,361,3
ML 52-53,SB,1/5/2025,4:00 AM,428,3
ML 52-53,SB,1/5/2025,5:00 AM,604,3
ML 52-53,SB,1/5/2025,6:00 AM,1052,3
ML 52-53,SB,1/5/2025,7:00 AM,1532,3
ML 52-53,SB,1/5/2025,8:00 AM,1741,3
ML 52-53,SB,1/5/2025,9:00 AM,1680,3
ML 52-53,SB,1/5/2025,10:00 AM,1263,3
ML 52-53,SB,1/5/2025,11:00 AM,1018,3
ML 52-53,SB,1/5/2025,12:00 PM,980,3
ML 52-53,SB,1/5/2025,1:00 PM,1009,3
ML 52-53,SB,1/5/2025,2:00 PM,1255,3
ML 52-53,SB,1/5/2025,3:00 PM,1601,3
ML 52-53,SB,1/5/2025,4:00 PM,2024,3
ML 52-53,SB,1/5/2025,5:00 PM,1957,3
ML 52-53,SB,1/5/2025,6:00 PM,1798,3
ML 52-53,SB,1/5/2025,7:00 PM,1194,3
ML 52-53,SB,1/5/2025,8:00 PM,651,3
ML 52-53,SB,1/5/2025,9:00 PM,313,3
ML 52-53,SB,1/5/2025,10:00 PM,181,3
ML 52-53,SB,1/5/2025,11:00 PM,143,3
ML 52-53,NB,1/6/2025,12:00 AM,285,3
ML 52-53,NB,1/6/2025,1:00 AM,302,3
ML 52-53,NB,1/6/2025,2:00 AM,312,3
ML 52-53,NB,1/6/2025,3:00 AM,355,3
ML 52-53,NB,1/6/2025,4:00 AM,408,3
ML 52-53,NB,1/6/2025,5:00 AM,552,3
ML 52-53,NB,1/6/2025,6:00 AM,956,3
ML 52-53,NB,1/6/2025,7:00 AM,1491,3
ML 52-53,NB,1/6/2025,8:00 AM,1569,3
ML 52-53,NB,1/6/2025,9:00 AM,1482,3
ML 52-53,NB,1/6/2025,10:00 AM,1226,3
ML 52-53,NB,1/6/2025,11:00 AM,950,3
ML 52-53,NB,1/6/2025,12:00 PM,852,3
ML 52-53,NB,1/6/2025,1:00 PM,957,3
ML 52-53,NB,1/6/2025,2:00 PM,1045,3
ML 52-53,NB,1/6/2025,3:00 PM,1459,3
ML 52-53,NB,1/6/2025,4:00 PM,1703,3
ML 52-53,NB,1/6/2025,5:00 PM,1926,3
ML 52-53,NB,1/6/2025,6:00 PM,1578,3
ML 52-53,NB,1/6/2025,7:00 PM,1129,3
ML 52-53,NB,1/6/2025,8:00 PM,561,3
ML 52-53,NB,1/6/2025,9:00 PM,293,3
ML 52-53,NB,1/6/2025,10:00 PM,183,3
ML 52-53,NB,1/6/2025,11:00 PM,149,3
ML 52-53,SB,1/6/2025,12:00 AM,328,3
ML 52-53,SB,1/6/2025,1:00 AM,362,3
ML 52-53,SB,1/6/2025,2:00 AM,349,3
ML 52-53,SB,1/6/2025,3:00 AM,384,3
ML 52-53,SB,1/6/2025,4:00 AM,388,3
ML 52-53,SB,1/6/2025,5:00 AM,607,3
ML 52-53,SB,1/6/2025,6:00 AM,1080,3
ML 52-53,SB,1/6/2025,7:00 AM,1477,3
ML 52-53,SB,1/6/2025,8:00 AM,1690,3
ML 52-53,SB,1/6/2025,9:00 AM,1677,3
ML 52-53,SB,1/6/2025,10:00 AM,1301,3
ML 52-53,SB,1/6/2025,11:00 AM,991,3
ML 52-53,SB,1/6/2025,12:00 PM,984,3
ML 52-53,SB,1/6/2025,1:00 PM,969,3
ML 52-53,SB,1/6/2025,2:00 PM,1240,3
ML 52-53,SB,1/6/2025,3:00 PM,1571,3
ML 52-53,SB,1/6/2025,4:00 PM,2089,3
ML 52-53,SB,1/6/2025,5:00 PM,2197,3
ML 52-53,SB,1/6/2025,6:00 PM,1704,3
ML 52-53,SB,1/6/2025,7:00 PM,1103,3
ML 52-53,SB,1/6/2025,8:00 PM,640,3
ML 52-53,SB,1/6/2025,9:00 PM,296,3
ML 52-53,SB,1/6/2025,10:00 PM,182,3
ML 52-53,SB,1/6/2025,11:00 PM,163,3
ML 52-53,NB,1/7/2025,12:00 AM,303,3
ML 52-53,NB,1/7/2025,1:00 AM,325,3
ML 52-53,NB,1/7/2025,2:00 AM,323,3
ML 52-53,NB,1/7/2025,3:00 AM,309,3
ML 52-53,NB,1/7/2025,4:00 AM,389,3
ML 52-53,NB,1/7/2025,5:00 AM,551,3
ML 52-53,NB,1/7/2025,6:00 AM,959,3
ML 52-53,NB,1/7/2025,7:00 AM,1497,3
ML 52-53,NB,1/7/2025,8:00 AM,1750,3
ML 52-53,NB,1/7/2025,9:00 AM,1619,3
ML 52-53,NB,1/7/2025,10:00 AM,1275,3
ML 52-53,NB,1/7/2025,11:00 AM,1017,3
ML 52-53,NB,1/7/2025,12:00 PM,891,3
ML 52-53,NB,1/7/2025,1:00 PM,851,3
ML 52-53,NB,1/7/2025,2:00 PM,1046,3
ML 52-53,NB,1/7/2025,3:00 PM,1493,3
ML 52-53,NB,1/7/2025,4:00 PM,1816,3
ML 52-53,NB,1/7/2025,5:00 PM,2038,3
ML 52-53,NB,1/7/2025,6:00 PM,1697,3
ML 52-53,NB,1/7/2025,7:00 PM,1062,3
ML 52-53,NB,1/7/2025,8:00 PM,608,3
ML 52-53,NB,1/7/2025,9:00 PM,273,3
ML 52-53,NB,1/7/2025,10:00 PM,176,3
ML 52-53,NB,1/7/2025,11:00 PM,149,3
ML 52-53,SB,1/7/2025,12:00 AM,326,3
ML 52-53,SB,1/7/2025,1:00 AM,323,3
ML 52-53,SB,1/7/2025,2:00 AM,353,3
ML 52-53,SB,1/7/2025,3:00 AM,373,3
ML 52-53,SB,1/7/2025,4:00 AM,391,3
ML 52-53,SB,1/7/2025,5:00 AM,620,3
ML 52-53,SB,1/7/2025,6:00 AM,965,3
ML 52-53,SB,1/7/2025,7:00 AM,1408,3
ML 52-53,SB,1/7/2025,8:00 AM,1849,3
ML 52-53,SB,1/7/2025,9:00 AM,1765,3
ML 52-53,SB,1/7/2025,10:00 AM,1229,3
ML 52-53,SB,1/7/2025,11:00 AM,968,3
ML 52-53,SB,1/7/2025,12:00 PM,871,3
ML 52-53,SB,1/7/2025,1:00 PM,913,3
ML 52-53,SB,1/7/2025,2:00 PM,1187,3
ML 52-53,SB,1/7/2025,3:00 PM,1593,3
ML 52-53,SB,1/7/2025,4:00 PM,2020,3
ML 52-53,SB,1/7/2025,5:00 PM,1963,3
ML 52-53,SB,1/7/2025,6:00 PM,1606,3
ML 52-53,SB,1/7/2025,7:00 PM,1089,3
ML 52-53,SB,1/7/2025,8:00 PM,643,3
ML 52-53,SB,1/7/2025,9:00 PM,293,3
ML 52-53,SB,1/7/2025,10:00 PM,201,3
ML 52-53,SB,1/7/2025,11:00 PM,148,3
ML 52-53,NB,1/8/2025,12:00 AM,286,3
ML 52-53,NB,1/8/2025,1:00 AM,322,3
ML 52-53,NB,1/8/2025,2:00 AM,318,3
ML 52-53,NB,1/8/2025,3:00 AM,342,3
ML 52-53,NB,1/8/2025,4:00 AM,352,3
ML 52-53,NB,1/8/2025,5:00 AM,579,3
ML 52-53,NB,1/8/2025,6:00 AM,908,3
ML 52-53,NB,1/8/2025,7:00 AM,1436,3
ML 52-53,NB,1/8/2025,8:00 AM,1703,3
ML 52-53,NB,1/8/2025,9:00 AM,1536,3
ML 52-53,NB,1/8/2025,10:00 AM,1178,3
ML 52-53,NB,1/8/2025,11:00 AM,918,3
ML 52-53,NB,1/8/2025,12:00 PM,900,3
ML 52-53,NB,1/8/2025,1:00 PM,948,3
ML 52-53,NB,1/8/2025,2:00 PM,1100,3
ML 52-53,NB,1/8/2025,3:00 PM,1518,3
ML 52-53,NB,1/8/2025,4:00 PM,1740,3
ML 52-53,NB,1/8/2025,5:00 PM,2063,3
ML 52-53,NB,1/8/2025,6:00 PM,1621,3
ML 52-53,NB,1/8/2025,7:00 PM,1131,3
ML 52-53,NB,1/8/2025,8:00 PM,589,3
ML 52-53,NB,1/8/2025,9:00 PM,287,3
ML 52-53,NB,1/8/2025,10:00 PM,165,3
ML 52-53,NB,1/8/2025,11:00 PM,131,3
ML 52-53,SB,1/8/2025,12:00 AM,312,3
ML 52-53,SB,1/8/2025,1:00 AM,358,3
ML 52-53,SB,1/8/2025,2:00 AM,340,3
ML 52-53,SB,1/8/2025,3:00 AM,376,3
ML 52-53,SB,1/8/2025,4:00 AM,415,3
ML 52-53,SB,1/8/2025,5:00 AM,640,3
ML 52-53,SB,1/8/2025,6:00 AM,1015,3
ML 52-53,SB,1/8/2025,7:00 AM,1504,3
ML 52-53,SB,1/8/2025,8:00 AM,1886,3
ML 52-53,SB,1/8/2025,9:00 AM,1796,3
ML 52-53,SB,1/8/2025,10:00 AM,1328,3
ML 52-53,SB,1/8/2025,11:00 AM,1061,3
ML 52-53,SB,1/8/2025,12:00 PM,977,3
ML 52-53,SB,1/8/2025,1:00 PM,976,3
ML 52-53,SB,1/8/2025,2:00 PM,1240,3
ML 52-53,SB,1/8/2025,3:00 PM,1575,3
ML 52-53,SB,1/8/2025,4:00 PM,1894,3
ML 52-53,SB,1/8/2025,5:00 PM,1993,3
ML 52-53,SB,1/8/2025,6:00 PM,1770,3
ML 52-53,SB,1/8/2025,7:00 PM,1136,3
ML 52-53,SB,1/8/2025,8:00 PM,624,3
ML 52-53,SB,1/8/2025,9:00 PM,293,3
ML 52-53,SB,1/8/2025,10:00 PM,182,3
ML 52-53,SB,1/8/2025,11:00 PM,147,3
ML 52-53,NB,1/9/2025,12:00 AM,281,3
ML 52-53,NB,1/9/2025,1:00 AM,322,3
ML 52-53,NB,1/9/2025,2:00 AM,322,3
ML 52-53,NB,1/9/2025,3:00 AM,312,3
ML 52-53,NB,1/9/2025,4:00 AM,364,3
ML 52-53,NB,1/9/2025,5:00 AM,549,3
ML 52-53,NB,1/9/2025,6:00 AM,984,3
ML 52-53,NB,1/9/2025,7:00 AM,1360,3
ML 52-53,NB,1/9/2025,8:00 AM,1800,3
ML 52-53,NB,1/9/2025,9:00 AM,1475,3
ML 52-53,NB,1/9/2025,10:00 AM,1196,3
ML 52-53,NB,1/9/2025,11:00 AM,982,3
ML 52-53,NB,1/9/2025,12:00 PM,872,3
ML 52-53,NB,1/9/2025,1:00 PM,964,3
ML 52-53,NB,1/9/2025,2:00 PM,1050,3
ML 52-53,NB,1/9/2025,3:00 PM,1535,3
ML 52-53,NB,1/9/2025,4:00 PM,1943,3
ML 52-53,NB,1/9/2025,5:00 PM,2015,3
ML 52-53,NB,1/9/2025,6:00 PM,1699,3
ML 52-53,NB,1/9/2025,7:00 PM,1053,3
ML 52-53,NB,1/9/2025,8:00 PM,536,3
ML 52-53,NB,1/9/2025,9:00 PM,301,3
ML 52-53,NB,1/9/2025,10:00 PM,182,3
ML 52-53,NB,1/9/2025,11:00 PM,130,3
ML 52-53,SB,1/9/2025,12:00 AM,303,3
ML 52-53,SB,1/9/2025,1:00 AM,358,3
ML 52-53,SB,1/9/2025,2:00 AM,335,3
ML 52-53,SB,1/9/2025,3:00 AM,364,3
ML 52-53,SB,1/9/2025,4:00 AM,436,3
ML 52-53,SB,1/9/2025,5:00 AM,565,3
ML 52-53,SB,1/9/2025,6:00 AM,942,3
ML 52-53,SB,1/9/2025,7:00 AM,1545,3
ML 52-53,SB,1/9/2025,8:00 AM,1739,3
ML 52-53,SB,1/9/2025,9:00 AM,1797,3
ML 52-53,SB,1/9/2025,10:00 AM,1424,3
ML 52-53,SB,1/9/2025,11:00 AM,1007,3
ML 52-53,SB,1/9/2025,12:00 PM,939,3
ML 52-53,SB,1/9/2025,1:00 PM,1020,3
ML 52-53,SB,1/9/2025,2:00 PM,1131,3
ML 52-53,SB,1/9/2025,3:00 PM,1543,3
ML 52-53,SB,1/9/2025,4:00 PM,2039,3
ML 52-53,SB,1/9/2025,5:00 PM,2047,3
ML 52-53,SB,1/9/2025,6:00 PM,1737,3
ML 52-53,SB,1/9/2025,7:00 PM,1161,3
ML 52-53,SB,1/9/2025,8:00 PM,624,3
ML 52-53,SB,1/9/2025,9:00 PM,323,3
ML 52-53,SB,1/9/2025,10:00 PM,176,3
ML 52-53,SB,1/9/2025,11:00 PM,160,3
ML 52-53,NB,1/10/2025,12:00 AM,221,3
ML 52-53,NB,1/10/2025,1:00 AM,254,3
ML 52-53,NB,1/10/2025,2:00 AM,239,3
ML 52-53,NB,1/10/2025,3:00 AM,228,3
ML 52-53,NB,1/10/2025,4:00 AM,241,3
ML 52-53,NB,1/10/2025,5:00 AM,279,3
ML 52-53,NB,1/10/2025,6:00 AM,394,3
ML 52-53,NB,1/10/2025,7:00 AM,663,3
ML 52-53,NB,1/10/2025,8:00 AM,1122,3
ML 52-53,NB,1/10/2025,9:00 AM,1364,3
ML 52-53,NB,1/10/2025,10:00 AM,1309,3
ML 52-53,NB,1/10/2025,11:00 AM,991,3
ML 52-53,NB,1/10/2025,12:00 PM,772,3
ML 52-53,NB,1/10/2025,1:00 PM,657,3
ML 52-53,NB,1/10/2025,2:00 PM,650,3
ML 52-53,NB,1/10/2025,3:00 PM,788,3
ML 52-53,NB,1/10/2025,4:00 PM,934,3
ML 52-53,NB,1/10/2025,5:00 PM,1180,3
ML 52-53,NB,1/10/2025,6:00 PM,1457,3
ML 52-53,NB,1/10/2025,7:00 PM,1187,3
ML 52-53,NB,1/10/2025,8:00 PM,838,3
ML 52-53,NB,1/10/2025,9:00 PM,457,3
ML 52-53,NB,1/10/2025,10:00 PM,218,3
ML 52-53,NB,1/10/2025,11:00 PM,120,3
ML 52-53,SB,1/10/2025,12:00 AM,248,3
ML 52-53,SB,1/10/2025,1:00 AM,242,3
ML 52-53,SB,1/10/2025,2:00 AM,269,3
ML 52-53,SB,1/10/2025,3:00 AM,244,3
ML 52-53,SB,1/10/2025,4:00 AM,256,3
ML 52-53,SB,1/10/2025,5:00 AM,307,3
ML 52-53,SB,1/10/2025,6:00 AM,475,3
ML 52-53,SB,1/10/2025,7:00 AM,798,3
ML 52-53,SB,1/10/2025,8:00 AM,1274,3
ML 52-53,SB,1/10/2025,9:00 AM,1327,3
ML 52-53,SB,1/10/2025,10:00 AM,1254,3
ML 52-53,SB,1/10/2025,11:00 AM,1162,3
ML 52-53,SB,1/10/2025,12:00 PM,872,3
ML 52-53,SB,1/10/2025,1:00 PM,716,3
ML 52-53,SB,1/10/2025,2:00 PM,723,3
ML 52-53,SB,1/10/2025,3:00 PM,771,3
ML 52-53,SB,1/10/2025,4:00 PM,1088,3
ML 52-53,SB,1/10/2025,5:00 PM,1280,3
ML 52-53,SB,1/10/2025,6:00 PM,1430,3
ML 52-53,SB,1/10/2025,7:00 PM,1313,3
ML 52-53,SB,1/10/2025,8:00 PM,824,3
ML 52-53,SB,1/10/2025,9:00 PM,464,3
ML 52-53,SB,1/10/2025,10:00 PM,231,3
ML 52-53,SB,1/10/2025,11:00 PM,132,3
ML 52-53,NB,1/11/2025,12:00 AM,205,3
ML 52-53,NB,1/11/2025,1:00 AM,253,3
ML 52-53,NB,1/11/2025,2:00 AM,230,3
ML 52-53,NB,1/11/2025,3:00 AM,236,3
ML 52-53,NB,1/11/2025,4:00 AM,223,3
ML 52-53,NB,1/11/2025,5:00 AM,275,3
ML 52-53,NB,1/11/2025,6:00 AM,448,3
ML 52-53,NB,1/11/2025,7:00 AM,763,3
ML 52-53,NB,1/11/2025,8:00 AM,1025,3
ML 52-53,NB,1/11/2025,9:00 AM,1272,3
ML 52-53,NB,1/11/2025,10:00 AM,1352,3
